org_id	program_id	program_name	friendliness_rating	MinAge	MaxAge	spanish_speaking	Health Status Requirements	Gender Requirement	sexual_orientation_requirement	Access to Services	Description	Program Timing	program_category	services_offered
112	125	Public Internet Access									Computers can be used in 60 minute sessions with 2 sessions per day per person. Only 1 person allowed at a computer at a time. While sound is allowed on the computers, the volume must remain at a respectable volume as not to disturb other patrons. Wifi is available in the library - the adult technology lab has the strongest signal.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
113	126	Public Internet Access										M-F: 9AM-9PM; SA: 9AM-1PM	Internet Access	internet access
114	127	Public Internet Access									Two, 1 hour sessions on PCs. A Chicago Public Library card needed for use. Patrons that have a valid suburb library card may register for a City of Chicago Public Library card to use computers. Unlimited wifi available.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
115	128	Public Internet Access									Must have library card. Children's computers are for ages under 14 and there's a table specifically for laptop users. Wifi available. 20 computers available. Limited to 2 turns per day.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
116	129	Public Internet Access									Check CPL website. Wifi available. Timed access limited to 2 sessions per day.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
117	130	Public Internet Access									9 computers are reserved for adults, and 8 are reserved for children. Wifi available. 17 computers available for a maximum of 2 hours a day.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
118	131	Public Internet Access									Wifi available. 16 computers for timed access. Maximum of 120 minutes.	M: 12-8PM; TU: 10AM-6PM; W: 12PM-8PM; TH: 10AM-6PM; F: 9AM-5PM; SA: 9AM-5PM; SU: CLOSED	Internet Access	internet access
119	132	Public Internet Access										M-F: 8AM-5PM	Internet Access	internet access
120	133	Public Internet Access										M-F: 9AM-5PM	Internet Access	internet access
121	134	Public Internet Access									Wifi available.	M-TH: 5PM-8PM	Internet Access	internet access
122	135	Public Internet Access		16							Restrictions 16 years,no social network. Just when they allowed by professor. 16+. Wifi available. 24 computers available during office hours.	Mon,thr,fri- 9:30am-4pm	Internet Access	internet access
123	136	Public Internet Access									The only open time (not including classes) to use the computers is 2-3:30 PM. Wifi available.	M-F: 9AM - 9PMSA: 9AM - 2PM	Internet Access	internet access
124	137	Public Internet Access									No other activities besides job searching allowed. May have wifi. 8 computers available for unlimited time between the hours of operation.	M-F: 9AM-4:30PM	Internet Access	internet access
125	138	Public Internet Access										M-F: 9AM-4PM	Internet Access	internet access
126	139	Public Internet Access									Adult section and children section. Wifi available. Limited to two, 60 minute sessions per day.	M:12PM-8PM; T: 10AM-6PM; W:12PM-8PM; TH: 10AM-6PM; F: 9AM-5PM; SA: 9AM-5PM; SU: CLOSED	Internet Access	internet access
127	140	Public Internet Access									Wifi available.	M-F: 10am - 4pm	Internet Access	internet access
128	141	Public Internet Access									Must have a Chicago library card and are allowed two one hour sessions per day. Wifi available.	M: 10AM-6PM; TU,TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
129	142	Public Internet Access									Wifi available.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
130	143	Public Internet Access									The PC in resource center and computer training are designated to job seekers clients and/or youth particiapnts. Wifi available. If no participants are waiting, usage is unlimited. However, when participants are waiting, usage is restricted to 30 minutes per participant.	M-F: 9AM-5PM; SA: 9AM-5PM--Specialty and interest classes ONLY, SU: Closed	Internet Access	internet access
131	144	Public Internet Access									Open lab hours are from 10am-12pm, Monday through Friday. On Friday there are extended hours from 10 am to 2 pm. NO wifi.	M-F: 10AM-6PM; SA: 9AM-2PM	Internet Access	internet access
132	145	Public Internet Access									Must be a Chicago Public Library card or obtain a guest pass from the front desk. Downloading materials is prohibited. Wifi available. 25 computers available for timed sessions. Maximum of two, 60 minute sessions per day.	M, W: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
133	146	Public Internet Access									2 - 1 hour sessions and 1 Express Computer is available for 15 minute usage	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
134	147	Public Internet Access									Wifi available.	M-F: 8:30AM-4:30PM	Internet Access	internet access
135	148	Public Internet Access									Wifi available.	M-F: 3PM-7PM	Internet Access	internet access
136	149	Public Internet Access		19							Open to the public. There are stringent restrictions on explicit material and there are filtering software installed on all computers. Downloading materials is prohibited. Must be at least 19 years of age or supervised by an adult to use computers. 19+ NO wifi.	T-TH: 10:15-3:30PM	Internet Access	internet access
137	150	Public Internet Access										M-F: 9AM-5PM	Internet Access	internet access
138	151	Public Internet Access									You must have a Chicago public library card if you are a Chicago resident. If from a suburb you need a suburban library card to get a Chicago public library card. If you are from a different state then bring a photo Id. 15 cents per page to print and cash only. Wifi available. Up to 120 minutes a day.	M, W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
139	152	Public Internet Access		18							No unsupervised youth under the age of 16 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+	Varies— see details	Internet Access	internet access
140	153	Public Internet Access									Wifi available. 28 computers available for unlimited time usage.	M-F: 9AM-5PM	Internet Access	internet access
141	154	Public Internet Access		14							Separate computers for those 14+. Must have a current library card. 16 computers limited to two, 60 minute sessions a day.	M, W: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
142	155	Public Internet Access									No food or drink and in order to use computer must have library card which costs $1 for people who need a card. Timed access for 45 minutes.	M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
143	156	Public Internet Access									Computers are only to be used for employment or educational purposes. All printed material must be relevant to employment and education as well. NO wifi.	M-F: 8AM-4PM	Internet Access	internet access
144	157	Public Internet Access									Users cannot save or download files or programs to the hard drive. Saving files or documents to a disk is acceptable. Users may not install or use their own software programs on the public computers. Wifi might be available.	M-F: 8:30AM-4:30PM	Internet Access	internet access
145	158	Public Internet Access									2 one hour sessions for CPL card holders. Express computers available but shorter session counts as one one hour session. Computers shut down 30 minutes before library closing time. Wifi available.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
146	159	Public Internet Access									Wifi available.	M,W; 10am-6pm T,Th; 12-8pm F,Sa; 9am-5pm	Internet Access	internet access
147	160	Public Internet Access									No wifi. 3 computers for unlimited time usage.	M-TU,TH-F: 9AM-5PM, W: 11AM-7PM	Internet Access	internet access
148	161	Public Internet Access									Wifi available. 20 computers for unlimited time usage.	M-F: 9AM-5PM (hours may change periodically)	Internet Access	internet access
149	162	Public Internet Access									Wifi available.	M-Thur-5pm-6pm, Fr- SA: 12-1PM	Internet Access	internet access
150	163	Public Internet Access									Wifi available.	M-F: 8AM-9PM; SA: 8AM-1PM	Internet Access	internet access
151	164	Public Internet Access									Must be a Chicago public library cardholder or obtain a guest pass for the day. Wifi available. Two, 1 hour sesions per day limit.	M,W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
152	165	Public Internet Access									Young adults and adults must use designated computers. Children 13 and under also have certain computers available. Users must be a Chicago Public Library card holder or obtain a visitors day pass. Two one hour sessions are allotted in a day. Wifi available.	M, W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
153	166	Public Internet Access									Usage of facebook website is restricted. No flash drive usage allowed. No wifi.	M-F: 8AM-4PM	Internet Access	internet access
154	167	Public Internet Access										M-F: 8:30AM-4PM	Internet Access	internet access
155	168	Public Internet Access										M-F: 8:30AM-4PM	Internet Access	internet access
156	169	Public Internet Access										M-F 9AM- 5PM, open weekends when necessary	Internet Access	internet access
157	170	Public Internet Access									Max 2 hr. Adults allowed to use kids computer as long as kids are not in the building. Will extend time if no one is waiting.	M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
158	171	Public Internet Access									Wifi might be available.	M-F 9AM-5PM	Internet Access	internet access
159	172	Public Internet Access									Only use appropriate sites. Wifi available. 6 computers for unlimited time usage.	M-F: 8:30AM-4:30PM	Internet Access	internet access
160	173	Public Internet Access									2 - 1 hour sessions per person / day	M,W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
161	174	Public Internet Access		18							No unsupervised youth under the age of 16 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+	Summer: Mon-Thursday 5pm to 7pm, Friday 10am-5pm	Internet Access	internet access
162	175	Public Internet Access									2 one hour sessions a day. No wifi.	M-F: 10AM-5PM (Subject to staff availability)	Internet Access	internet access
163	176	Public Internet Access									You must have a Chicago public library card if you are a Chicago resident. If from a suburb you need a suburban library card to get a Chicago public library card. If you are from a different state then bring a photo Id. 15 cents per page to print and cash only. Wifi available. Allowed 2 sessions a day 15 minutes - 1 hour, all session sign ins are automated.	M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM	Internet Access	internet access
164	177	Public Internet Access		18							No unsupervised youth under the age of 16 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+	Varies— see details	Internet Access	internet access
165	178	Public Internet Access									Two 60 minute sessions per day. Wifi available.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
166	179	Public Internet Access									Users need a library card. Wifi available.	Mon. & Wed: Noon-8pm,Tue.& Thu. 10am-6pm, Fri. & Sat. 9am. -5pm.	Internet Access	internet access
167	180	Public Internet Access		18							No unsupervised youth under the age of 18 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+	Mon 2pm-7pm, tues-thurs 9am-7pm,fri 9am-4pm,sat 9am-1pm, sun closed	Internet Access	internet access
168	181	Public Internet Access										M-TH: 9AM-5PM	Internet Access	internet access
169	182	Public Internet Access									2 one hour sessions for CPL card holders. Express computers available but shorter session counts as one one hour session. Computers shut down 30 minutes before library closing time.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
170	183	Public Internet Access										M-F: 10AM-3PM	Internet Access	internet access
171	184	Public Internet Access									Lab is set up for 5 users at a time with a 30 min restriction, no food or drinks and no cell phone usage.	M-F: 8:30AM-4:30PM	Internet Access	internet access
172	185	Public Internet Access									Must sign-in to use the computers. There is filtering software and a No Facebook/YouTube policy. The computers should be used for business purposes.	M-F: 8:30 am- 5:00 pm	Internet Access	internet access
173	186	Public Internet Access									No food or drink No social media (Facebook or Youtube)	M-F: 9AM-5PM	Internet Access	internet access
174	187	Public Internet Access										M-F: 8:30AM-9:30PM	Internet Access	internet access
175	188	Public Internet Access									Open in afternoon, after classes.	M-F: 8AM-4:30PM	Internet Access	internet access
176	189	Public Internet Access										M-F: 9AM-5PM	Internet Access	internet access
177	190	Public Internet Access									2 one hour sessions for CPL card holders. Express computers available but shorter session counts as one one hour session. Computers shut down 30 minutes before library closing time. Wifi available.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
178	191	Public Internet Access									Adult and children computer areas are seperated and adults are only allowed to use the children's computers if no other children are in the library. Wifi available. 28 computers limited to a maximum of two, 60 minute sessions per day.	M, W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
179	192	Public Internet Access									No wifi.	M-F: 9AM-8:30PM	Internet Access	internet access
180	193	Public Internet Access									Must be a Chicago public library cardholder or obtain a guest pass for the day. Wifi available.	M, W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
181	194	Public Internet Access		18							No unsupervised youth under the age of 16 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+	Varies— see details	Internet Access	internet access
182	195	Public Internet Access										M, W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
183	196	Public Internet Access		18							Adults use only. However, children may use the computers if accompanied by an adult. 18+. Wifi available.	Mon-Thurs 8:30 AM-3:30PM	Internet Access	internet access
184	197	Public Internet Access									Monday to Friday, from 1pm to 4pm is public lab time.	M-F: 9AM-5PM	Internet Access	internet access
185	198	Public Internet Access		18							Children has to be supervised. 18+	M-12pm-7pm,T-F 9am-7pm.	Internet Access	internet access
186	199	Public Internet Access									Adult computer usage from 10am-2pm. Children computer usage from 2pm-5pm. (Except during summer hours. See times above) No information can be saved to computers . All users must use flash drives. No access to Facebook.	M-TH 10AM-5PM CLOSED Friday, Summer Hours M-TH 10AM-4PM	Internet Access	internet access
187	200	Public Internet Access									Wifi available. 16 computers available for unlimited time usage.	M-F: 9AM-5PM	Internet Access	internet access
188	201	Public Internet Access									Wifi available. 21 computers available for unlimited time usage.	M-F: 9AM-5PM	Internet Access	internet access
189	202	Public Internet Access									Wifi available. 12 computers available for unlimited time usage.	M-F: 9AM-5pm; Sat-Sun: closed	Internet Access	internet access
190	203	Public Internet Access									Must have library card, and computers are separated for adults and for children. Wifi available. 20 computers available for a maximum of two, 60 minute sessions per day.	M. W: 12PM-8PM; TU, TH: 10AM-6PM;F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
191	204	Public Internet Access									Wifi available.	M, W- 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
192	205	Public Internet Access									Wifi available. 30 computers limited to 2 sessions per day.	M, W- 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
193	206	Public Internet Access									Must have a current library card. Adult computers and children's computers. Wifi available with library card number. Limited to two, 60 minute sessions per day.	M, W- 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
194	207	Public Internet Access									Library card needed. Wifi available. 30 computers available for a maximum of 120 minutes.	M, W- 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
195	208	Public Internet Access									Wifi available.	M, W, F: 10AM-6PM	Internet Access	internet access
196	209	Public Internet Access									Children 13 and under and youth and adults 14+ computers are separated. 2 sessions per day up to 120 minutes.	M, W- 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
197	210	Public Internet Access									Internet use will be monitored: no gaming or streaming videos, no cell phone use inside the office (unless in the case of emergency), no food or drinks at computer terminal, and no sound allowed on computer.	Mon/Wed/Fri 10:00-4:00; Available in 2-hour time slots	Internet Access	internet access
198	211	Public Internet Access		18							No unsupervised youth under the age of 16 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+		Internet Access	internet access
199	212	Public Internet Access									Labs are public. Wifi available.	M: 12PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
200	213	Public Internet Access										M-F: 8:30AM-4:30PM; SA: 8AM-2PM	Internet Access	internet access
201	214	Public Internet Access									Labs are public; older adults take priority. Wifi available. Unlimited time usage if no one is waiting.	M-TH: 7:30AM–3:30PM; F: 7:30AM–7:00PM; SA: 9:00AM–2:00PM	Internet Access	internet access
202	215	Public Internet Access									Unlimited unless there is people waiting, it that happens then the patrons have an hour to use the computers. Wifi available.	M-F: 8AM-4PM	Internet Access	internet access
203	216	Public Internet Access									2 one hour sessions for CPL card holders. Express computers available but shorter session counts as one one hour session. Computers shut down 30 minutes before library closing time. Wifi available.	M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
204	217	Public Internet Access									Children assigned computers and adult assigned computers. Wifi available. Maximum usage limit of 120 minutes per day.	M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
205	218	Public Internet Access									Wifi available. 13 computers available for a meximum of two sessions per day.	M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
206	219	Public Internet Access									For use by youth and teens.	School year: M-F: 2:30PM-8PM; Summer hours 9am-5pm	Internet Access	internet access
207	220	Public Internet Access									City of Chicago library card required. Wifi available. 15 computers available for two, 60 minute sessions per day.	M, W: 10AM-6PM; TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
208	221	Public Internet Access									Restrict inappropriate websites like youtube, pandora, etc. No food or drink in lab or classroom. Wifi available.	M-F: 8:00AM-4:30PM	Internet Access	internet access
209	222	Public Internet Access									Unfiltered computer access. Wifi available. Limited to 2 sessions per day.	M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
210	223	Public Internet Access									Wifi available. 15 computers available for up to 120 minutes per day.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
211	224	Public Internet Access									Library card needed. Wifi available. 8 computers available for up to 120 minutes per day.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
212	225	Public Internet Access									2 one hour sessions for CPL card holders. Express computers available but shorter session counts as one one hour session. Computers shut down 30 minutes before library closing time. Wifi available. 18 computers available for a meximum of two, 60 minute sessions per day.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
213	226	Public Internet Access										M,Tu,W: 9AM-3PM	Internet Access	internet access
214	227	Public Internet Access									Wifi available.	M-TH: 5PM-8PM	Internet Access	internet access
215	228	Public Internet Access									Wifi available. 18 computers for timed access - up to 4 hours.	Morning classes from 9:30 a.m. to 12 p.m., evening classes from 6 pm to 8 p.m. Open access time M-F, 1:00-5:30 pm.	Internet Access	internet access
216	229	Public Internet Access									2 one hour sessions for CPL card holders. Express computers available but shorter session counts as one one hour session. Computers shut down 30 minutes before library closing time. Wifi available. 21 computers available for up to two 60 minute sessions.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
217	230	Public Internet Access									No food or drinks. No cell phone use. Employment and job skills use only. Illinois WorkNet Social Networking allowed for youth programs. Wifi might be available.	M-F: 8:30AM-5PM	Internet Access	internet access
218	231	Public Internet Access									User login needed. Wifi available.	M-F: 7:45AM-4:30PM	Internet Access	internet access
219	232	Public Internet Access										TU-TH 1PM-8:45PM; SA: 10AM-5:45PM; M, F, SU: Closed	Internet Access	internet access
220	233	Public Internet Access									You must have a Chicago public library card if you are a Chicago resident. If from a suburb you need a suburban library card to get a Chicago public library card. If you are from a different state then bring a photo Id. 15 cents per page to print and cash only. Wifi available.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
221	234	Public Internet Access										M-F: 8:00AM-7PM; SA: 8:00AM-12:30PM	Internet Access	internet access
222	235	Public Internet Access									safe usage, especially in the presence of children. Wifi available.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
223	236	Public Internet Access									Computers are only to be used for job and work purposes. No Facebook, MySpace, or other social entertainment allowed.	M-TH: 8:30 AM to 4:30 PM	Internet Access	internet access
224	237	Public Internet Access										M-TH: 2PM-6PM	Internet Access	internet access
225	238	Public Internet Access		18							No unsupervised youth under the age of 16 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+	Varies— see details	Internet Access	internet access
226	239	Public Internet Access									2 one hour sessions for CPL card holders. Express computers available but shorter session counts as one one hour session. Computers shut down 30 minutes before library closing time. Wifi available.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
227	240	Public Internet Access									When children are present, adults cannot use children's computers. When school is not in session, children's computers cannot be used by adults. Wifi available. Limited to 1 hour twice a day. Reservation needed for use over 20 minutes.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
228	241	Public Internet Access									Must have unexpired library card. 12 adult computers, 7 children's computer, and 4 laptops available for adults. Wifi available.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
229	242	Public Internet Access									Wifi available.		Internet Access	internet access
230	243	Public Internet Access									Wifi available.	W: 1PM-3PM; T-TH: 9AM-1PM & 5PM-9PM	Internet Access	internet access
231	244	Public Internet Access									10 computers for timed usage.	M-F: 8:30AM-4PM	Internet Access	internet access
232	245	Public Internet Access									Users must have a Chicago public library card or obtain a guest pass to use computers. Guest passes can be obtained on site during a same day visit. Wifi available. 18 computers limited to two, 60 minute sessions per day.	M: 10AM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
233	246	Public Internet Access									Must be a Chicago public library cardholder or obtain a guest pass for the day. Wifi available. 16 computers available for a maximum of two, 60 minute sessions per day.	M: 12PM-8PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
234	247	Public Internet Access									None NO Food or Drink No Cell Phones No Cussing Time limit of 45 minutes No dowloading or burning CDs No illegal activity. Wifi available.	M-F: 8:30AM-5PM	Internet Access	internet access
235	248	Public Internet Access									2, 60 minute sessions. Express computers are limited to 15 minutes. Wifi available.	M: 12PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed	Internet Access	internet access
236	249	Public Internet Access									Available for use one hour at a time. Wifi available.	M-TU,TH-F: 9AM-5PM, W: 11AM-7PM	Internet Access	internet access
237	250	Public Internet Access		18							No unsupervised youth under the age of 16 may access any PCC. To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules. In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government. A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf. Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx. 18+	Mon.-Fri.: 9:00 a.m.-7:00 p.m.; Sat.: 10:00 a.m.-1:00 p.m., Sun.: CLOSED	Internet Access	internet access
238	251	Public Internet Access									Employment and email use mainly	M-F: 9:30-4:30PM (Subject to staff availability)	Internet Access	internet access
239	252	Public Internet Access									Explicit material is blocked but there are no time restrictions and use of the computer lab are open to the public. Wifi available.	Monday: 8:30 - 4:45 Tuesday: Noon - 4:45 Wednesday: Noon - 4:45 Thursday: Noon - 4:45 Friday: 8:30 - 4:00 Saturday, Sunday: Closed	Internet Access	internet access
